








Frequency of observations in the selected location(s).:
Number of taxa: 	421

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	631.0	421.0	429.0	535.0	410.0	469.0	783.0	413.0	484.0	429.0	575.0	840.0	624.0	656.0	543.0	791.0	638.0	657.0	546.0	600.0	455.0	401.0	398.0	415.0	387.0	422.0	431.0	549.0	451.0	411.0	462.0	716.0	579.0	495.0	480.0	633.0	549.0	423.0	367.0	613.0	325.0	378.0	303.0	379.0	278.0	287.0	341.0	463.0	

goose sp.	0.003169572107765452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002066115702479339	0.0	0.0	0.0	0.0	0.003048780487804878	0.001841620626151013	0.0	0.0	0.0	0.0	0.0016666666666666668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00315955766192733	0.0	0.002364066193853428	0.0027247956403269754	0.0016313213703099511	0.0	0.0026455026455026454	0.0033003300330033004	0.0	0.0	0.0	0.0	0.0	
Mute Swan	0.042789223454833596	0.040380047505938245	0.03263403263403263	0.03925233644859813	0.05609756097560976	0.03624733475479744	0.04342273307790549	0.031476997578692496	0.05371900826446281	0.04428904428904429	0.034782608695652174	0.04523809523809524	0.03365384615384615	0.04725609756097561	0.03683241252302026	0.03034134007585335	0.032915360501567396	0.0228310502283105	0.029304029304029304	0.023333333333333334	0.024175824175824177	0.022443890274314215	0.017587939698492462	0.00963855421686747	0.01808785529715762	0.018957345971563982	0.030162412993039442	0.03642987249544627	0.026607538802660754	0.0267639902676399	0.0367965367965368	0.051675977653631286	0.04317789291882556	0.01818181818181818	0.029166666666666667	0.030015797788309637	0.01639344262295082	0.03546099290780142	0.02452316076294278	0.05872756933115824	0.027692307692307693	0.05291005291005291	0.0429042904290429	0.052770448548812667	0.039568345323741004	0.024390243902439025	0.03519061583577713	0.04535637149028078	
Trumpeter Swan	0.10142630744849446	0.09026128266033254	0.10256410256410256	0.102803738317757	0.1	0.07889125799573561	0.04853128991060025	0.0387409200968523	0.045454545454545456	0.037296037296037296	0.02782608695652174	0.02142857142857143	0.01282051282051282	0.012195121951219513	0.009208103130755065	0.0050568900126422255	0.003134796238244514	0.0076103500761035	0.007326007326007326	0.0033333333333333335	0.004395604395604396	0.0	0.002512562814070352	0.0	0.002583979328165375	0.004739336492890996	0.013921113689095127	0.0036429872495446266	0.004434589800443459	0.0072992700729927005	0.0015	0.002793296089385475	0.010362694300518135	0.00404040404040404	0.008333333333333333	0.009478672985781991	0.0018214936247723133	0.01182033096926714	0.008174386920980926	0.026101141924959218	0.043076923076923075	0.082010582010582	0.07260726072607261	0.08179419525065963	0.11151079136690648	0.08362369337979095	0.10263929618768329	0.08855291576673865	
Tundra Swan	0.004754358161648178	0.004750593824228029	0.0	0.001869158878504673	0.0	0.0042643923240938165	0.001277139208173691	0.0	0.0	0.0	0.0	0.002380952380952381	0.0015	0.0	0.001841620626151013	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.013050570962479609	0.006153846153846154	0.018518518518518517	0.006600660066006601	0.002638522427440633	0.017985611510791366	0.003484320557491289	0.008797653958944282	0.0	
Trumpeter/Tundra Swan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003076923076923077	0.0026455026455026454	0.0	0.0	0.0	0.0	0.0	0.0	
Wood Duck	0.014263074484944533	0.03800475059382423	0.011655011655011656	0.03177570093457944	0.03902439024390244	0.006396588486140725	0.022988505747126436	0.043583535108958835	0.030991735537190084	0.03263403263403263	0.036521739130434785	0.03214285714285714	0.035256410256410256	0.03048780487804878	0.029465930018416207	0.020227560050568902	0.0219435736677116	0.0395738203957382	0.03296703296703297	0.04	0.04835164835164835	0.057356608478802994	0.032663316582914576	0.05783132530120482	0.046511627906976744	0.05924170616113744	0.03944315545243619	0.04735883424408015	0.024390243902439025	0.021897810218978103	0.049783549783549784	0.04748603351955307	0.046632124352331605	0.046464646464646465	0.05416666666666667	0.02843601895734597	0.04189435336976321	0.02364066193853428	0.013623978201634877	0.021207177814029365	0.033846153846153845	0.015873015873015872	0.013201320132013201	0.044854881266490766	0.01079136690647482	0.013937282229965157	0.020527859237536656	0.02159827213822894	
Gadwall	0.03645007923930269	0.03800475059382423	0.05128205128205128	0.05046728971962617	0.05853658536585366	0.04477611940298507	0.03065134099616858	0.05569007263922518	0.05165289256198347	0.04895104895104895	0.04521739130434783	0.04642857142857143	0.05929487179487179	0.053353658536585365	0.06998158379373849	0.0695322376738306	0.07210031347962383	0.0563165905631659	0.054945054945054944	0.06666666666666667	0.035164835164835165	0.0199501246882793	0.01507537688442211	0.00963855421686747	0.00516795865633075	0.004739336492890996	0.0	0.0	0.0	0.004866180048661801	0.0	0.004189944134078212	0.0051813471502590676	0.010101010101010102	0.010416666666666666	0.01579778830963665	0.012750455373406194	0.026004728132387706	0.043596730245231606	0.03915171288743882	0.046153846153846156	0.047619047619047616	0.0297029702970297	0.021108179419525065	0.03597122302158273	0.0313588850174216	0.02346041055718475	0.032397408207343416	
Eurasian Wigeon	0.039619651347068144	0.04275534441805225	0.03496503496503497	0.028037383177570093	0.02195121951219512	0.0255863539445629	0.02681992337164751	0.024213075060532687	0.022727272727272728	0.011655011655011656	0.020869565217391306	0.017857142857142856	0.019230769230769232	0.012195121951219513	0.022099447513812154	0.008849557522123894	0.003134796238244514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00315955766192733	0.0015	0.018912529550827423	0.013623978201634877	0.024469820554649267	0.03076923076923077	0.05555555555555555	0.036303630363036306	0.0395778364116095	0.017985611510791366	0.04878048780487805	0.03519061583577713	0.03023758099352052	
American Wigeon	0.27892234548335976	0.27078384798099764	0.2634032634032634	0.2336448598130841	0.2658536585365854	0.24307036247334754	0.20561941251596424	0.2639225181598063	0.22520661157024793	0.23076923076923078	0.22608695652173913	0.2154761904761905	0.18269230769230768	0.1798780487804878	0.15837937384898712	0.1213653603034134	0.07993730407523511	0.0578386605783866	0.0347985347985348	0.023333333333333334	0.01098901098901099	0.00997506234413965	0.005025125628140704	0.00963855421686747	0.007751937984496124	0.004739336492890996	0.002320185614849188	0.00546448087431694	0.004434589800443459	0.0024330900243309003	0.0021645021645021645	0.0223463687150838	0.044905008635578586	0.06666666666666667	0.11666666666666667	0.13428120063191154	0.16939890710382513	0.24113475177304963	0.23433242506811988	0.32463295269168024	0.31384615384615383	0.31216931216931215	0.30033003300330036	0.3007915567282322	0.32014388489208634	0.313588850174216	0.2991202346041056	0.27645788336933047	
Eurasian x American Wigeon (hybrid)	0.0	0.0	0.0	0.001869158878504673	0.0024390243902439024	0.0042643923240938165	0.0	0.002421307506053269	0.0	0.0	0.0017391304347826088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004728132387706856	0.0	0.0015	0.003076923076923077	0.005291005291005291	0.006600660066006601	0.005277044854881266	0.0	0.003484320557491289	0.0	0.0	
